gid,초등학교수,중학교수,고등학교수,어린이보호구역수,교차로,보행자작동신호기,횡단보도,음향신호기,안전표지,신호등,잔여시간표시기,도로면적,총인구수,단란주점,유흥주점,일반음식점,교통사고수,geometry,gu
다사41a41b,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,"POLYGON ((941000 1941500, 941000 1942000, 941500 1942000, 941500 1941500, 941000 1941500))",구로구
다사41b41b,0,0,0,0,0.0,0.0,10.0,0.0,13.0,0.0,0.0,2723.387007601706,0.0,0,0,0,0,"POLYGON ((941500 1941500, 941500 1942000, 942000 1942000, 942000 1941500, 941500 1941500))",구로구
다사40b42b,0,0,0,0,0.0,0.0,2.0,0.0,8.0,2.0,0.0,5142.798542692781,0.0,0,0,0,3,"POLYGON ((940500 1942500, 940500 1943000, 941000 1943000, 941000 1942500, 940500 1942500))",구로구
다사40a41b,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,"POLYGON ((940000 1941500, 940000 1942000, 940500 1942000, 940500 1941500, 940000 1941500))",구로구
다사42a41b,0,0,0,0,0.0,0.0,11.0,4.0,16.0,22.0,0.0,4745.381837442961,0.0,0,0,0,0,"POLYGON ((942000 1941500, 942000 1942000, 942500 1942000, 942500 1941500, 942000 1941500))",구로구
다사44a43b,0,0,0,0,0.0,0.0,3.0,0.0,44.0,6.0,0.0,26406.657954424325,0.0,0,0,0,4,"POLYGON ((944000 1943500, 944000 1944000, 944500 1944000, 944500 1943500, 944000 1943500))",구로구
다사46b44a,0,1,0,1,0.0,0.0,87.0,23.0,194.0,66.0,9.0,71530.02740166779,0.0,0,0,0,36,"POLYGON ((946500 1944000, 946500 1944500, 947000 1944500, 947000 1944000, 946500 1944000))",구로구 영등포구
다사45a46b,0,0,0,0,2.0,1.0,22.0,0.0,45.0,24.0,0.0,88376.50978710885,0.0,0,0,0,16,"POLYGON ((945000 1946500, 945000 1947000, 945500 1947000, 945500 1946500, 945000 1946500))",구로구 양천구 영등포구
다사41a45a,0,0,0,0,0.0,0.0,6.0,9.0,41.0,10.0,4.0,17830.438728274483,0.0,0,0,0,1,"POLYGON ((941000 1945000, 941000 1945500, 941500 1945500, 941500 1945000, 941000 1945000))",구로구 양천구
다사40b45b,0,0,0,0,0.0,0.0,8.0,4.0,0.0,10.0,4.0,6594.455086443762,0.0,0,0,0,1,"POLYGON ((940500 1945500, 940500 1946000, 941000 1946000, 941000 1945500, 940500 1945500))",구로구 양천구
다사39a41b,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,"POLYGON ((939000 1941500, 939000 1942000, 939500 1942000, 939500 1941500, 939000 1941500))",구로구
다사45a42b,0,0,0,0,0.0,0.0,157.0,23.0,102.0,124.0,9.0,54401.616340026565,0.0,0,0,0,12,"POLYGON ((945000 1942500, 945000 1943000, 945500 1943000, 945500 1942500, 945000 1942500))",구로구 금천구
다사39a44b,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,"POLYGON ((939000 1944500, 939000 1945000, 939500 1945000, 939500 1944500, 939000 1944500))",구로구
다사39a43b,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1090.786783693066,0.0,0,0,0,0,"POLYGON ((939000 1943500, 939000 1944000, 939500 1944000, 939500 1943500, 939000 1943500))",구로구
다사40a45b,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,"POLYGON ((940000 1945500, 940000 1946000, 940500 1946000, 940500 1945500, 940000 1945500))",구로구 양천구
다사39a44a,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1069.9593484299444,0.0,0,0,0,0,"POLYGON ((939000 1944000, 939000 1944500, 939500 1944500, 939500 1944000, 939000 1944000))",구로구
